weapon1,weapon2,hypothesis,ccf,split1,split2,split3
470624,172194,0,0.268541493,n,t,n
470624,241962,0,0.327500437,n,t,n
470624,608744,0,0.564819065,n,n,t
470624,196995,0,0.374658482,n,t,n
470624,165956,0,0.271162955,n,n,t
470624,683218,0,0.309683708,n,n,t
470624,795188,0,0.44636652,v,t,t
470624,173476,0,0.368149513,n,t,n
470624,113810,0,0.275497352,v,t,t
470624,616807,0,0.188346095,n,n,t
470624,139359,0,0.325415968,n,n,t
470624,318905,0,0.215995075,n,n,t
470624,409402,0,0.248650226,n,t,n
470624,100136,0,0.273401801,n,t,n
470624,343954,0,0.398899967,n,t,n
470624,121957,0,0.21883805,n,n,t
470624,390253,0,0.336717618,n,t,n
470624,822486,0,0.422033372,n,n,t
470624,157893,0,0.370084978,n,n,t
470624,261911,0,0.458839411,n,n,t
470624,531117,0,0.16642037,n,n,t
470624,143776,0,0.274395189,v,t,t
470624,139035,0,0.285048841,n,n,t
470624,180588,0,0.351098618,v,t,t
470624,501936,0,0.305432287,n,n,t
470624,801184,0,0.24388572,v,t,t
470624,678702,0,0.431429688,n,t,n
470624,673753,0,0.323149835,n,t,n
470624,162915,0,0.324052493,n,n,t
470624,135265,0,0.331125501,n,t,n
470624,659913,0,0.363024744,v,t,t
470624,121410,0,0.337809002,v,t,t
470624,815455,0,0.19923971,n,t,n
470624,533089,0,0.260629144,n,n,t
470624,156268,0,0.171015677,v,t,t
470624,729449,0,0.200649147,v,t,t
470624,104389,0,0.252897234,v,t,t
470624,729536,0,0.219482564,v,t,t
470624,156174,0,0.352785475,n,n,t
470624,131629,0,0.226466084,v,t,t
470624,140650,0,0.221653786,v,t,t
470624,598747,0,0.283298437,n,n,t
470624,125254,0,0.176722417,n,n,t
470624,134997,0,0.420370036,v,t,t
470624,582827,0,0.510429333,n,t,n
470624,317294,0,0.176291728,n,t,n
470624,134721,0,0.486634693,n,n,t
470624,161749,0,0.521443608,n,n,t
470624,121018,0,0.166416649,n,t,n
470624,124965,0,0.266254391,v,t,t
470624,526361,0,0.398253376,n,n,t
470624,189603,0,0.237033573,n,t,n
470624,218900,0,0.319029202,n,t,n
470624,170574,0,0.33009898,n,n,t
470624,149014,0,0.323910218,v,t,t
470624,184038,0,0.202753793,n,t,n
470624,685299,0,0.219361299,n,t,n
470624,447959,0,0.476302834,n,t,n
470624,689029,0,0.464615906,n,n,t
470624,141085,0,0.438946687,n,t,n
470624,954082,0,0.345479372,n,n,t
470624,775043,0,0.280531193,v,t,t
470624,103816,0,0.210494537,n,t,n
470624,117883,0,0.287531442,n,n,t
470624,929584,0,0.33664555,n,t,n
470624,111578,0,0.386742578,v,t,t
470624,113763,0,0.504695872,n,t,n
470624,615828,0,0.401007758,n,n,t
470624,288361,0,0.259788155,n,t,n
470624,100729,0,0.30176132,n,t,n
470624,362587,0,0.312772515,n,n,t
470624,405673,0,0.407154623,n,n,t
470624,925113,0,0.297261409,v,t,t
470624,113583,0,0.220096595,n,t,n
470624,251427,0,0.354880264,n,t,n
470624,847254,0,0.160488851,n,n,t
470624,314775,0,0.339377072,v,t,t
470624,632251,0,0.375422487,n,n,t
470624,131712,0,0.327098056,v,t,t
470624,793647,0,0.335232728,v,t,t
470624,104056,0,0.517339411,n,t,n
470624,161168,0,0.248737017,n,t,n
470624,347852,0,0.406081623,v,t,t
470624,481080,0,0.154201984,v,t,t
470624,682054,0,0.088193612,v,t,t
470624,419158,0,0.37018805,n,t,n
470624,126976,0,0.390500663,n,n,t
470624,125912,0,0.363853469,n,t,n
470624,114268,0,0.329955747,v,t,t
470624,778036,0,0.286304551,v,t,t
470624,170471,0,0.317188588,v,t,t
470624,134759,0,0.402203799,n,n,t
470624,738425,0,0.331442334,n,n,t
470624,180939,0,0.318132528,v,t,t
470624,544710,0,0.307079502,n,n,t
470624,209280,0,0.252143876,n,n,t
470624,126656,0,0.24652261,n,n,t
470624,438826,0,0.093030827,v,t,t
470624,664082,0,0.392506287,v,t,t
470624,157314,0,0.47908829,v,t,t
470624,157586,0,0.25494436,v,t,t
470624,908797,0,0.215373531,n,n,t
470624,174993,0,0.348599726,n,t,n
470624,154970,0,0.225656574,n,t,n
470624,110962,0,0.145894995,n,t,n
161093,161093,1,0.852229533,t,t,v
161093,657777,0,0.317360549,n,t,n
161093,629356,0,0.221705623,t,n,n
