weapon1,weapon2,hypothesis,accf,cmc,n,split1,split2,split3
126156,171658,0,13.9779,1,32,n,t,n
126156,892635,0,12.2136,1,32,n,t,n
126156,462611,0,13.263,0,32,v,t,t
972579,171658,0,13.276,1,39,t,t,v
972579,131431,0,11.6333,0,39,n,t,n
972579,168706,0,25.0129,0,39,n,t,n
171658,131431,0,19.5338,2,42,n,t,n
171658,168706,0,15.2284,1,42,n,t,n
892635,462611,0,9.5342,0,29,n,t,n
892635,131431,0,12.2869,0,29,n,t,n
892635,168706,0,10.8934,1,29,n,t,n
462611,131431,0,13.2777,0,38,v,t,t
462611,168706,0,24.9565,0,38,v,t,t
131431,168706,0,13.3509,1,39,v,t,t
438763,107045,0,12.1545,1,33,n,t,n
438763,135298,0,8.966,0,33,n,t,n
438763,286121,0,11.7152,1,33,n,n,t
438763,483190,0,13.8797,0,33,v,t,t
438763,460187,0,9.6453,1,33,n,n,t
107045,135298,0,10.2858,0,36,t,t,v
107045,286121,0,11.1967,1,36,t,n,n
107045,483190,0,10.5864,1,36,n,t,n
107045,460187,0,10.7429,1,36,t,n,n
135298,286121,0,24.2013,0,31,t,n,n
135298,135369,0,19.6737,4,31,t,t,v
135298,170456,0,14.7617,0,31,t,n,n
286121,135369,0,16.6389,2,35,t,n,n
286121,170456,0,12.2404,0,35,t,v,t
483190,460187,0,9.9235,1,26,n,n,t
483190,135369,0,15.7505,0,26,n,t,n
483190,170456,0,15.1383,0,26,n,n,t
460187,135369,0,8.684,1,29,t,n,n
460187,170456,0,11.0589,0,29,t,v,t
135369,170456,0,12.1855,0,28,t,n,n
169437,816547,0,10.4473,0,29,t,v,t
169437,856612,0,10.0019,0,29,n,n,t
169437,100702,0,14.5491,0,29,n,n,t
169437,116078,0,11.9979,1,29,t,v,t
169437,177901,0,13.7378,0,29,t,n,n
816547,856612,0,6.8267,2,34,n,n,t
816547,100702,0,15.581,1,34,n,n,t
816547,116078,0,13.728,2,34,t,v,t
816547,177901,0,11.8399,0,34,t,n,n
856612,100702,0,10.533,0,37,v,t,t
856612,329251,0,10.9032,1,37,v,t,t
